country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,1120,1.17M,0,0,0,0,0,0,0,870k,0,0,0,0,0,1.59M,0,181,0,12.2k,0,0,0,254,181,325k,28.1k,15k,115k,247k
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,7,0,4,305,0,0
Indonesia,0,0,0,1650,2010,0,25,3060,0,0,800,0,125,0,0,10k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3720,0,0,0,0
India,2000,6.91M,4.53M,0,25.1k,2500,600k,14.5M,4010,1.61M,153,133k,5.3M,1.56M,1.34M,105k,3.3M,80.2k,1.9M,3.7M,4.1M,25.1k,185,72.7k,429k,12.2k,9.18M,25,4.67M,13.9M,30k,27.1k,15.4k,532k,0,68.7k,151k,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,2,0,0,0,0,0,2,0,2,8,1,0,0,0,200,0,0,0,0
Iran,0,0,60,0,0,14,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,22,3700,0,0,0,94,0,0,0,5500,0,0,0,2500,8000,0,160k,28
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0
Italy,235,0,0,5040,0,0,0,0,20,0,0,0,0,0,0,0,0,33,0,0,6,0,0,1010,103,0,0,22,0,0,0,0,0,0,0,0,1,0,0
Jamaica,0,0,0,2520,0,0,0,0,0,0,30k,0,0,0,0,307,0,0,810k,0,0,0,0,0,4,0,800,0,0,0,0,201,1500,0,350k,10.4k,0,33.2k,4010
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,209,0,30,0,0,0,0,0,0
Japan,0,135,50,101,334,243,325k,13.1k,3110,71,17k,82.8k,149k,253,0,30.3k,2380,65k,0,15,148k,91.2k,445,30.6k,130,503,5740,67k,49.9k,27.4k,193k,9910,101k,2420,331k,273k,12.9k,41k,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9080,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,0,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,1800,0,0,10k,1180,0,0,0,0,0,0,0,0,0
South Korea,2540,159,0,0,0,0,0,0,4000,35.1k,20.2k,14.4k,5110,0,0,77,6730,56.6k,0,75.3k,27,20.8k,433,8660,116,5230,0,0,4480,518,744,311,88.8k,80.1k,2940,1110,0,622,0
Lao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3k,269k,128,0,1M,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104k,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0
